steps,time_ms
184000,93.430125
185000,94.251833
186000,95.496250
187000,96.749666
188000,97.643291
189000,98.493625
190000,99.094458
191000,100.368583
192000,101.388042
193000,102.753625
194000,103.538875
195000,104.470375
196000,105.561792
197000,107.202708
198000,107.829834
199000,108.666334
200000,109.902334
201000,110.682209
202000,112.192583
203000,113.016041
204000,114.424000
205000,115.262417
206000,116.308500
207000,117.694708
208000,118.729875
209000,119.620583
210000,121.280750
211000,122.098458
212000,123.185958
213000,124.632708
214000,125.841916
215000,127.075125
216000,127.975292
217000,128.893125
218000,129.694375
219000,130.820000
220000,132.113083
221000,134.149292
222000,135.206458
223000,136.386250
224000,137.409792
225000,138.872500
226000,140.026167
227000,141.249542
228000,142.437959
229000,143.758667
230000,145.135792
231000,146.296834
232000,147.591167
233000,148.717750
234000,150.144167
235000,151.093375
236000,152.661916
237000,153.757125
238000,155.232458
239000,156.380875
240000,157.305583
241000,158.292166
242000,159.885500
243000,161.455875
244000,162.438000
245000,163.964792
246000,165.067167
247000,166.708250
248000,167.882750
249000,168.891959
250000,170.490292
251000,171.689292
252000,173.062833
253000,174.358041
254000,176.025125
255000,177.089791
256000,178.777375
257000,179.598583
258000,181.068000
259000,182.502042
260000,183.882042
261000,185.283166
262000,187.340250
263000,188.216666
264000,189.612917
265000,191.208834
266000,192.289417
267000,193.889792
268000,195.461667
269000,196.605625
270000,198.351000
271000,199.741000
272000,200.745542
273000,202.815209
274000,203.715042
275000,205.434042
276000,206.925833
277000,208.419416
278000,209.777375
279000,211.264416
280000,212.791083
281000,214.215750
282000,216.113083
283000,217.340083
284000,218.988916
285000,220.367250
286000,221.615833
287000,223.208042
288000,224.728375
289000,226.719792
290000,228.225916
291000,230.000500
292000,231.006041
293000,232.923333
294000,234.432459
295000,235.078416
296000,237.518750
297000,239.234500
298000,240.679042
299000,242.182625
300000,243.756000
301000,245.820458
302000,247.971083
303000,248.939125
304000,250.706041
305000,252.146667
306000,253.931125
307000,255.154750
308000,256.936625
309000,258.878875
310000,260.419834
311000,262.096542
312000,263.709625
313000,265.313500
314000,267.242958
315000,268.766875
316000,270.455958
317000,272.151458
318000,274.002500
319000,275.747708
320000,277.418583
321000,279.549041
322000,280.504041
323000,282.426333
324000,284.402958
325000,286.156042
326000,287.693500
327000,289.333666
328000,291.517209
329000,293.104583
330000,294.832625
331000,296.626000
332000,298.238458
333000,299.830125
334000,301.828958
335000,303.478250
336000,305.239375
337000,307.048167
338000,309.204125
339000,311.023083
340000,312.398583
341000,314.360083
342000,316.399500
343000,317.798166
344000,320.066958
345000,321.806459
346000,323.451542
347000,325.333333
348000,327.385791
349000,328.996167
350000,330.966500
351000,333.494459
352000,334.465584
353000,336.798916
354000,338.726459
355000,340.563708
356000,342.354916
357000,344.436708
358000,346.097333
359000,348.003125
360000,349.688042
361000,351.970209
362000,354.066459
363000,356.028459
364000,357.449709
365000,359.499292
366000,367.644417
367000,363.585834
368000,365.375792
369000,367.564542
370000,369.470416
371000,371.063583
372000,373.391333
373000,375.326666
374000,377.670500
375000,379.805000
376000,381.590042
377000,383.460458
378000,385.642541
379000,387.461542
380000,389.478458
381000,391.777125
382000,394.522583
383000,396.029458
384000,398.117875
385000,399.893459
386000,402.351917
387000,404.394625
388000,406.253083
389000,407.569750
390000,410.402125
391000,412.697500
392000,415.110417
393000,417.511833
394000,419.578083
395000,421.620375
396000,423.772125
397000,426.048500
398000,428.330000
399000,430.373417
400000,432.584834
401000,435.146084
402000,437.257708
403000,439.076750
404000,441.467041
405000,443.966459
406000,446.132417
407000,448.647625
408000,450.313250
409000,453.159500
410000,455.307250
411000,457.743750
412000,460.173542
413000,462.535209
414000,464.499125
415000,466.851458
416000,469.139959
417000,471.604042
418000,474.112833
419000,476.429792
420000,478.672792
421000,480.975541
422000,483.699958
423000,485.939750
424000,488.308584
425000,490.466416
426000,494.179000
427000,498.283417
428000,498.113875
429000,500.318791
430000,502.884666
431000,505.266167
432000,507.067875
433000,509.655750
434000,512.357084
435000,514.692291
436000,517.577792
437000,520.140625
438000,522.215625
439000,524.521459
440000,526.680458
441000,529.595209
442000,531.815459
443000,534.662667
444000,536.833333
445000,539.266084
446000,542.310834
447000,550.745667
448000,545.250708
449000,548.331542
450000,553.182875
451000,554.038042
452000,556.818292
453000,560.376792
454000,563.574083
455000,565.828792
456000,568.074167
457000,570.866833
458000,573.009417
459000,576.157500
460000,578.330458
461000,581.341750
462000,583.413500
463000,585.866375
464000,588.992625
465000,591.830459
466000,593.849541
467000,596.662458
468000,599.123791
469000,602.023000
470000,604.887916
471000,607.437583
472000,610.120458
473000,612.526250
474000,615.284542
475000,618.049667
476000,620.807541
477000,623.512125
478000,626.763375
479000,629.208625
480000,631.801958
481000,634.047000
482000,637.173041
483000,639.708291
484000,642.453584
485000,645.095042
486000,648.128167
487000,650.439083
488000,653.400209
489000,655.574250
490000,659.069875
491000,661.662083
492000,664.737542
493000,667.055292
494000,670.105875
495000,672.820750
496000,676.495750
497000,678.694875
498000,681.080667
499000,684.756958
